CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,Contract,InternetService,PaperlessBilling,PaymentMethod,OnlineSecurity,TechSupport,StreamingService,MonthlyCharges,TotalCharges,Churn
CUST11109,Female,0,No,No,16,Month-to-month,No,No,Credit card,No,No,No,21.39,352.85,No
CUST10356,Male,0,No,Yes,9,Two year,Fiber optic,Yes,Electronic check,Yes,No,No,63.22,460.95,No
CUST10951,Male,1,No,Yes,59,Month-to-month,Fiber optic,Yes,Mailed check,Yes,No,Yes,71.17,4188.96,No
CUST10343,Male,0,No,Yes,4,Two year,DSL,Yes,Credit card,No,No,Yes,46.66,48.57,No
CUST10355,Female,0,No,No,3,One year,Fiber optic,Yes,Mailed check,Yes,Yes,No,69.96,145.98,No
CUST10024,Female,0,No,No,41,Month-to-month,Fiber optic,Yes,Electronic check,No,Yes,Yes,66.09,2547.81,No
CUST10044,Female,0,No,No,8,Month-to-month,Fiber optic,Yes,Electronic check,No,No,Yes,69.66,590.26,Yes
CUST10244,Male,1,No,No,72,Month-to-month,Fiber optic,Yes,Bank transfer,No,Yes,No,58.44,4300.27,No
CUST10738,Male,0,No,No,64,Month-to-month,Fiber optic,Yes,Mailed check,Yes,No,Yes,65.93,4242.68,No
CUST11136,Male,1,Yes,Yes,6,One year,DSL,Yes,Bank transfer,Yes,No,No,49.15,155.47,No
CUST10368,Female,0,No,Yes,58,Month-to-month,DSL,Yes,Electronic check,Yes,No,No,43.14,2437.9,No
CUST10164,Female,0,No,Yes,4,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No,No,66.41,257.49,No
CUST11116,Male,1,Yes,No,49,Two year,No,Yes,Electronic check,No,No,No,31.17,1532.98,No
CUST10333,Female,1,Yes,Yes,32,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,No,Yes,65.32,2138.12,No
CUST10989,Female,0,No,Yes,42,Two year,Fiber optic,Yes,Bank transfer,Yes,Yes,No,65.24,2713.89,No
CUST11173,Male,1,No,No,42,Month-to-month,Fiber optic,Yes,Electronic check,No,Yes,Yes,73.22,3131.06,No
CUST11002,Male,0,Yes,Yes,17,Month-to-month,Fiber optic,Yes,Electronic check,No,No,Yes,63.48,1032.87,No
CUST10378,Male,0,No,Yes,64,Month-to-month,DSL,Yes,Mailed check,Yes,No,Yes,58.7,3719.8,No
CUST10310,Female,0,Yes,Yes,24,One year,Fiber optic,Yes,Mailed check,Yes,No,No,60.51,1515.05,No
CUST10156,Female,0,Yes,No,35,Month-to-month,No,No,Electronic check,No,No,No,30.44,1053.29,No
CUST10211,Male,1,No,No,63,One year,DSL,Yes,Mailed check,No,Yes,Yes,56.91,3539.37,No
CUST10087,Female,0,Yes,No,43,One year,No,Yes,Credit card,No,No,No,30.24,1318.35,No
CUST10169,Male,0,Yes,No,30,Two year,Fiber optic,No,Bank transfer,No,No,Yes,61.71,1961.75,No
CUST10995,Female,0,Yes,No,57,One year,DSL,No,Mailed check,Yes,No,No,43.68,2479.96,No
CUST10052,Female,0,Yes,No,2,Two year,No,Yes,Mailed check,No,No,No,33.79,47.71,No
CUST10439,Male,0,No,No,22,Month-to-month,Fiber optic,Yes,Credit card,Yes,No,Yes,70.63,1315.58,No
CUST10550,Male,1,No,No,60,Month-to-month,No,No,Bank transfer,No,No,No,35.99,2411.74,No
CUST10491,Female,1,No,No,16,Month-to-month,No,Yes,Mailed check,No,No,No,27.89,508.83,No
CUST10426,Male,0,Yes,No,19,Month-to-month,DSL,Yes,Electronic check,No,No,No,45.76,853.28,No
CUST10136,Male,1,No,No,9,Two year,Fiber optic,No,Electronic check,No,Yes,Yes,71.98,608.78,No
CUST11192,Male,0,Yes,Yes,50,Two year,DSL,Yes,Credit card,Yes,Yes,Yes,57.03,2812.22,No
CUST10055,Male,0,No,No,13,Month-to-month,Fiber optic,No,Credit card,Yes,Yes,Yes,71.53,833.31,Yes
CUST10079,Male,1,Yes,Yes,72,Month-to-month,Fiber optic,No,Bank transfer,Yes,No,No,59.66,4193.69,No
CUST10431,Male,0,Yes,No,55,One year,Fiber optic,Yes,Electronic check,No,Yes,No,63.55,3367.38,No
CUST10185,Male,0,No,No,21,Month-to-month,Fiber optic,Yes,Credit card,Yes,No,Yes,73.02,1552.68,No
CUST10057,Female,0,Yes,No,43,Month-to-month,DSL,No,Bank transfer,Yes,No,No,50.88,2255.69,No
CUST10943,Female,0,No,No,65,Month-to-month,DSL,Yes,Bank transfer,No,No,No,40.96,2610.15,No
CUST10851,Male,0,No,No,69,One year,No,Yes,Credit card,No,No,No,32.08,2042.5,No
CUST11164,Female,0,No,No,68,Month-to-month,Fiber optic,No,Mailed check,No,No,Yes,65.48,4452.01,No
CUST10219,Female,0,Yes,No,52,Month-to-month,DSL,Yes,Bank transfer,No,No,Yes,48.89,2570.37,No
CUST10845,Male,1,No,No,9,One year,DSL,No,Bank transfer,No,No,Yes,54.27,397.16,No
CUST10114,Female,0,No,No,68,Month-to-month,Fiber optic,Yes,Electronic check,No,No,Yes,62.86,4177.25,No
CUST10549,Female,1,No,No,39,One year,Fiber optic,Yes,Credit card,No,No,Yes,64.12,2337.0,No
CUST11019,Female,0,Yes,Yes,18,Month-to-month,DSL,No,Electronic check,Yes,Yes,No,52.71,983.45,No
CUST11073,Female,1,Yes,No,63,Two year,Fiber optic,No,Mailed check,Yes,No,Yes,77.5,4977.05,No
CUST10175,Female,0,Yes,Yes,15,Month-to-month,Fiber optic,Yes,Bank transfer,No,No,Yes,71.44,1063.97,No
CUST11023,Female,0,Yes,No,1,Two year,DSL,No,Mailed check,No,No,No,47.19,117.67,No
CUST10616,Male,0,Yes,No,13,One year,DSL,No,Credit card,No,No,No,38.62,439.22,No
CUST10514,Female,0,No,No,43,One year,DSL,No,Bank transfer,Yes,No,No,44.08,1781.15,No
CUST10462,Male,1,Yes,Yes,4,One year,Fiber optic,No,Credit card,No,No,No,60.86,349.59,No
CUST10287,Male,0,No,Yes,17,Two year,DSL,Yes,Mailed check,Yes,No,Yes,50.79,720.93,No
CUST10382,Female,0,Yes,No,16,Month-to-month,No,Yes,Mailed check,No,No,No,26.72,483.89,Yes
CUST11008,Male,0,No,No,41,One year,Fiber optic,No,Credit card,Yes,No,Yes,67.92,2808.67,No
CUST10671,Male,0,No,No,28,Month-to-month,Fiber optic,Yes,Credit card,No,No,Yes,59.76,1588.64,No
CUST10535,Male,0,Yes,No,47,Month-to-month,Fiber optic,Yes,Mailed check,No,No,No,54.31,2508.98,Yes
CUST10910,Female,0,No,No,60,Month-to-month,DSL,Yes,Bank transfer,No,No,Yes,49.51,3010.26,No
CUST10293,Male,0,No,Yes,13,Month-to-month,Fiber optic,Yes,Mailed check,Yes,No,No,62.29,801.94,Yes
CUST10124,Male,0,No,No,58,Month-to-month,No,Yes,Bank transfer,No,No,No,32.81,1936.42,No
CUST10583,Female,0,Yes,No,20,Two year,Fiber optic,Yes,Bank transfer,No,No,No,56.31,1275.59,No
CUST10141,Female,0,Yes,No,25,Month-to-month,No,Yes,Electronic check,No,No,No,26.08,734.54,No
CUST10736,Male,0,Yes,No,64,Month-to-month,DSL,No,Electronic check,No,No,No,33.13,2076.2,No
CUST10082,Female,0,No,No,12,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes,Yes,78.19,1035.89,No
CUST10882,Female,0,No,Yes,71,Month-to-month,DSL,Yes,Mailed check,No,Yes,Yes,50.57,3507.23,No
CUST10740,Female,0,Yes,Yes,22,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,Yes,No,69.29,1635.54,Yes
CUST11102,Female,0,Yes,No,67,Month-to-month,Fiber optic,No,Bank transfer,No,No,Yes,74.93,4911.21,No
CUST10909,Male,0,No,No,59,Month-to-month,Fiber optic,No,Mailed check,Yes,No,No,62.42,3821.27,No
CUST11167,Male,0,Yes,No,7,Month-to-month,DSL,No,Bank transfer,No,Yes,No,50.77,477.46,No
CUST10937,Female,0,No,No,35,One year,No,Yes,Bank transfer,No,No,No,36.32,1335.47,No
CUST10372,Female,1,No,Yes,10,Month-to-month,DSL,No,Credit card,Yes,No,Yes,57.08,654.96,No
CUST10890,Male,0,Yes,Yes,56,Month-to-month,No,No,Electronic check,No,No,No,26.0,1398.81,No
CUST10157,Male,0,Yes,No,53,Month-to-month,DSL,No,Mailed check,No,No,No,46.79,2616.43,No
CUST10992,Female,1,Yes,No,48,Month-to-month,DSL,No,Bank transfer,Yes,Yes,No,49.62,2274.71,No
CUST10622,Female,0,No,No,22,Two year,DSL,Yes,Mailed check,No,No,Yes,53.8,1015.26,No
CUST11038,Male,0,Yes,No,18,Month-to-month,Fiber optic,Yes,Mailed check,No,No,No,62.33,1277.77,No
CUST10245,Male,0,No,Yes,61,Month-to-month,Fiber optic,Yes,Credit card,Yes,No,Yes,61.17,3849.09,No
CUST10159,Male,1,Yes,Yes,26,Two year,Fiber optic,No,Electronic check,Yes,No,Yes,75.0,1995.01,No
CUST10746,Female,0,No,No,52,Month-to-month,Fiber optic,Yes,Electronic check,No,No,No,61.34,3191.56,No
CUST10193,Male,0,Yes,No,61,Month-to-month,DSL,Yes,Credit card,Yes,No,No,47.49,2875.31,No
CUST10534,Male,0,No,No,42,One year,Fiber optic,Yes,Electronic check,Yes,No,Yes,74.8,3187.73,Yes
CUST10904,Male,0,Yes,No,62,Month-to-month,No,No,Mailed check,No,No,No,34.4,1877.55,No
CUST11004,Male,0,No,No,41,One year,No,No,Electronic check,No,No,No,32.77,1454.62,No
CUST11070,Male,0,No,Yes,61,One year,Fiber optic,No,Credit card,No,No,No,55.89,3457.49,No
CUST10414,Male,0,Yes,Yes,23,Month-to-month,No,Yes,Bank transfer,No,No,No,33.58,816.09,No
CUST11187,Female,0,No,No,61,Two year,DSL,No,Credit card,No,No,No,38.49,2332.24,No
CUST10328,Male,0,Yes,Yes,6,Month-to-month,DSL,Yes,Electronic check,No,Yes,Yes,54.2,157.06,No
CUST10129,Female,0,Yes,Yes,48,Month-to-month,Fiber optic,Yes,Credit card,Yes,No,Yes,77.7,3755.8,Yes
CUST10695,Female,0,Yes,Yes,47,One year,No,Yes,Credit card,No,No,No,30.28,1412.3,No
CUST10631,Male,1,Yes,Yes,29,Two year,Fiber optic,Yes,Electronic check,Yes,No,Yes,78.6,2168.99,No
CUST10275,Male,0,No,No,19,Month-to-month,Fiber optic,No,Credit card,No,No,No,60.8,1169.47,No
CUST11148,Female,0,No,No,48,Month-to-month,DSL,Yes,Mailed check,No,No,No,42.97,2113.21,No
CUST10309,Female,0,Yes,Yes,8,Two year,Fiber optic,No,Credit card,No,No,Yes,61.61,498.22,No
CUST10234,Female,0,No,Yes,47,Two year,Fiber optic,No,Mailed check,No,No,No,52.77,2446.54,No
CUST11048,Male,0,Yes,No,30,Two year,Fiber optic,Yes,Mailed check,No,No,Yes,67.08,2035.22,No
CUST10623,Male,0,Yes,No,66,Month-to-month,DSL,Yes,Credit card,Yes,Yes,No,54.1,3409.26,No
CUST10644,Male,1,Yes,No,8,One year,No,Yes,Mailed check,No,No,No,30.34,418.97,No
CUST10479,Male,0,No,No,57,One year,DSL,No,Bank transfer,No,Yes,No,47.55,2739.35,No
CUST10472,Female,0,Yes,No,42,One year,Fiber optic,Yes,Credit card,Yes,No,Yes,79.24,3299.71,No
CUST10926,Male,0,No,No,45,Two year,Fiber optic,Yes,Mailed check,No,No,No,63.39,2771.33,No
CUST11098,Female,0,Yes,No,2,Month-to-month,DSL,Yes,Credit card,No,Yes,No,51.84,173.78,No
CUST10627,Male,0,Yes,No,1,Two year,No,Yes,Credit card,No,No,No,31.45,20.0,Yes
CUST10395,Male,0,No,No,27,One year,DSL,No,Credit card,Yes,Yes,Yes,58.09,1514.03,No
CUST10637,Male,1,No,No,65,Month-to-month,No,Yes,Bank transfer,No,No,No,32.28,2216.49,No
CUST10768,Female,1,Yes,Yes,32,Month-to-month,No,Yes,Credit card,No,No,No,31.18,1068.16,No
CUST10533,Male,0,No,Yes,40,Month-to-month,DSL,Yes,Mailed check,No,Yes,Yes,64.4,2562.94,Yes
CUST10718,Female,0,No,Yes,23,Two year,Fiber optic,Yes,Mailed check,Yes,Yes,Yes,70.23,1687.83,No
CUST10667,Female,0,Yes,Yes,42,Month-to-month,DSL,Yes,Mailed check,No,No,Yes,50.66,2186.27,No
CUST10598,Male,1,Yes,No,71,Month-to-month,DSL,Yes,Bank transfer,Yes,Yes,No,52.79,3819.86,No
CUST10482,Female,0,No,No,53,Month-to-month,Fiber optic,No,Electronic check,Yes,Yes,Yes,80.26,4158.77,No
CUST11103,Female,0,No,No,58,Month-to-month,Fiber optic,Yes,Bank transfer,No,No,Yes,63.23,3446.59,No
CUST10315,Male,0,Yes,Yes,66,Month-to-month,DSL,Yes,Credit card,No,No,Yes,51.13,3288.44,No
CUST10729,Male,0,Yes,No,17,One year,No,Yes,Electronic check,No,No,No,29.25,354.14,No
CUST10210,Male,0,No,Yes,72,Month-to-month,Fiber optic,Yes,Mailed check,Yes,Yes,Yes,69.27,4987.96,No
CUST10934,Male,0,Yes,Yes,63,Two year,DSL,No,Electronic check,No,No,Yes,43.48,2710.79,No
CUST10434,Female,0,No,Yes,25,One year,No,No,Electronic check,No,No,No,29.75,777.38,No
CUST10329,Female,0,Yes,Yes,56,Month-to-month,Fiber optic,Yes,Bank transfer,No,No,No,57.69,3229.8,Yes
CUST10261,Male,0,No,No,5,Two year,DSL,No,Credit card,No,Yes,No,46.69,184.37,No
CUST11117,Male,0,No,Yes,7,Two year,DSL,Yes,Mailed check,Yes,No,Yes,56.16,548.95,No
CUST10307,Female,0,Yes,Yes,31,One year,DSL,Yes,Bank transfer,No,No,No,42.31,1385.05,No
CUST11067,Male,0,No,No,13,Two year,No,Yes,Mailed check,No,No,No,26.8,315.51,No
CUST10928,Female,0,No,No,69,Month-to-month,DSL,Yes,Electronic check,No,Yes,Yes,55.87,3717.52,No
CUST11025,Female,0,Yes,No,45,Two year,DSL,Yes,Mailed check,No,No,Yes,52.75,2403.15,No
CUST10271,Female,0,No,No,13,Month-to-month,DSL,Yes,Mailed check,Yes,Yes,No,48.99,629.88,No
CUST10291,Male,0,No,No,32,Month-to-month,DSL,Yes,Electronic check,Yes,No,Yes,59.07,2228.02,No
CUST10813,Male,0,Yes,Yes,62,Month-to-month,Fiber optic,Yes,Electronic check,No,No,No,63.62,3986.58,No
CUST10097,Female,0,No,No,54,Month-to-month,Fiber optic,Yes,Bank transfer,No,No,Yes,65.23,3640.94,No
CUST10888,Female,0,No,No,10,Two year,DSL,No,Credit card,Yes,Yes,Yes,47.07,496.82,No
CUST10819,Female,0,Yes,No,18,Month-to-month,Fiber optic,Yes,Mailed check,No,No,Yes,69.41,1242.72,Yes
CUST10032,Male,1,Yes,No,20,One year,Fiber optic,Yes,Bank transfer,Yes,No,No,69.85,1553.24,No
CUST10763,Male,0,Yes,No,24,Month-to-month,DSL,No,Mailed check,Yes,Yes,No,51.19,1147.59,No
CUST10954,Female,1,Yes,No,28,Month-to-month,DSL,Yes,Bank transfer,Yes,No,No,49.05,1185.5,No
CUST10320,Female,0,Yes,Yes,18,Month-to-month,Fiber optic,No,Electronic check,No,Yes,No,63.47,1314.3,Yes
CUST10299,Male,0,Yes,No,40,Two year,Fiber optic,Yes,Credit card,No,No,Yes,61.32,2425.48,No
CUST10200,Male,1,Yes,Yes,59,Month-to-month,No,Yes,Mailed check,No,No,No,30.84,1809.92,No
CUST10561,Female,0,Yes,Yes,29,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No,No,67.62,1832.83,Yes
CUST10179,Male,0,Yes,No,21,One year,Fiber optic,Yes,Mailed check,No,No,Yes,66.98,1678.06,No
CUST11132,Female,0,Yes,No,25,Month-to-month,DSL,Yes,Bank transfer,Yes,Yes,No,53.53,1376.67,No
CUST10089,Female,0,No,No,32,Month-to-month,Fiber optic,Yes,Mailed check,Yes,No,No,64.25,1960.06,No
CUST10788,Female,0,Yes,No,66,Month-to-month,DSL,Yes,Credit card,No,Yes,Yes,50.54,3337.57,No
CUST10725,Male,1,No,No,36,Two year,DSL,No,Electronic check,No,Yes,Yes,50.17,1864.03,No
CUST10827,Male,0,Yes,Yes,59,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No,Yes,65.09,3804.67,Yes
CUST10209,Female,0,Yes,No,39,Month-to-month,Fiber optic,No,Mailed check,No,No,No,57.11,1954.35,No
CUST11040,Male,1,No,No,45,Month-to-month,DSL,No,Bank transfer,No,Yes,No,43.62,2014.95,No
CUST10297,Female,0,Yes,No,37,Month-to-month,DSL,Yes,Credit card,No,No,No,42.9,1598.5,No
CUST10998,Female,0,Yes,No,40,Month-to-month,DSL,Yes,Bank transfer,No,No,Yes,49.17,1991.95,No
CUST10498,Female,0,No,Yes,4,Two year,No,No,Credit card,No,No,No,27.31,238.87,No
CUST10835,Male,0,No,No,42,Two year,DSL,No,Credit card,Yes,Yes,Yes,59.28,2456.61,No
CUST10430,Female,0,No,Yes,27,Two year,Fiber optic,No,Mailed check,Yes,No,Yes,72.57,1970.14,No
CUST10507,Female,0,No,No,2,Two year,DSL,Yes,Credit card,No,No,Yes,52.78,148.57,No
CUST10831,Male,0,Yes,No,22,Two year,Fiber optic,Yes,Mailed check,Yes,Yes,Yes,73.88,1655.28,No
CUST10694,Female,0,Yes,No,52,One year,Fiber optic,Yes,Mailed check,Yes,Yes,No,68.74,3562.74,No
CUST10011,Male,0,Yes,No,62,Month-to-month,Fiber optic,No,Bank transfer,No,Yes,No,65.22,3986.45,No
CUST10848,Female,0,Yes,No,22,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No,Yes,66.69,1442.46,No
CUST10463,Female,0,No,No,50,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,No,No,63.4,3270.84,No
CUST10199,Male,0,Yes,Yes,56,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No,No,64.8,3650.25,No
CUST10060,Male,0,Yes,No,40,Month-to-month,DSL,Yes,Bank transfer,Yes,No,Yes,64.29,2517.28,No
CUST10907,Female,0,Yes,No,28,Two year,No,No,Credit card,No,No,No,27.68,691.91,No
CUST10997,Male,0,No,No,21,One year,Fiber optic,Yes,Bank transfer,No,Yes,No,61.48,1458.21,No
CUST10276,Female,0,Yes,Yes,63,One year,Fiber optic,No,Mailed check,No,Yes,No,56.57,3724.28,No
CUST10809,Female,0,No,No,9,Month-to-month,Fiber optic,Yes,Mailed check,No,No,Yes,71.74,621.93,No
CUST10908,Male,0,No,Yes,18,One year,Fiber optic,No,Bank transfer,Yes,No,Yes,70.99,1228.73,No
CUST10658,Male,0,No,Yes,13,Month-to-month,Fiber optic,Yes,Credit card,No,Yes,Yes,74.06,1037.75,Yes
CUST10957,Female,0,Yes,No,37,Month-to-month,DSL,Yes,Credit card,No,No,Yes,53.72,1989.23,No
CUST10886,Male,0,Yes,Yes,44,One year,DSL,Yes,Mailed check,No,No,No,39.85,1844.09,No
CUST10221,Male,0,Yes,No,55,Month-to-month,DSL,Yes,Credit card,Yes,Yes,No,52.86,3016.76,No
CUST10789,Female,1,Yes,No,12,One year,DSL,No,Bank transfer,No,Yes,Yes,51.83,619.73,Yes
CUST10712,Female,1,Yes,Yes,4,One year,No,No,Credit card,No,No,No,35.45,166.05,No
CUST10714,Female,0,No,Yes,7,Month-to-month,DSL,Yes,Credit card,Yes,Yes,Yes,62.45,518.95,No
CUST11113,Female,0,No,No,35,Month-to-month,No,Yes,Bank transfer,No,No,No,20.0,658.49,No
CUST11191,Male,0,Yes,No,23,One year,Fiber optic,Yes,Bank transfer,No,No,Yes,66.66,1633.67,Yes
CUST10790,Male,0,No,No,36,Month-to-month,Fiber optic,Yes,Credit card,No,No,Yes,61.24,2239.0,No
CUST10416,Male,1,No,No,14,Month-to-month,DSL,No,Mailed check,No,No,No,41.37,428.18,No
CUST10899,Male,0,Yes,No,6,Month-to-month,DSL,Yes,Mailed check,Yes,No,Yes,54.27,383.35,No
CUST10935,Female,0,Yes,No,55,Two year,DSL,Yes,Credit card,No,No,Yes,47.04,2334.85,No
CUST10266,Female,0,No,Yes,64,One year,Fiber optic,Yes,Bank transfer,Yes,No,No,63.36,3924.17,No
CUST10632,Female,0,Yes,No,54,Two year,Fiber optic,Yes,Electronic check,No,No,No,59.57,3120.99,No
CUST10248,Male,1,No,No,27,Two year,DSL,Yes,Bank transfer,No,No,No,48.4,1183.81,No
CUST10683,Male,0,No,Yes,11,Month-to-month,DSL,No,Credit card,Yes,No,Yes,61.16,569.75,No
CUST10559,Female,1,No,Yes,57,Two year,DSL,Yes,Credit card,Yes,No,Yes,55.48,3081.92,No
CUST11137,Male,0,Yes,Yes,29,Two year,DSL,Yes,Electronic check,Yes,No,No,50.78,1523.97,No
CUST10968,Female,0,Yes,Yes,46,One year,DSL,Yes,Electronic check,No,Yes,No,45.64,2047.31,No
CUST11005,Male,0,No,No,66,Month-to-month,DSL,No,Credit card,No,No,No,41.18,2826.13,Yes
CUST10985,Female,1,No,Yes,44,One year,Fiber optic,Yes,Credit card,No,Yes,Yes,68.76,3013.01,No
CUST10295,Female,0,No,No,58,Month-to-month,Fiber optic,Yes,Electronic check,Yes,Yes,No,65.54,3753.3,No
CUST10520,Female,0,No,No,66,Two year,No,Yes,Bank transfer,No,No,No,32.15,2097.11,No
CUST10771,Male,1,No,No,29,Month-to-month,DSL,No,Credit card,Yes,No,No,52.13,1523.83,No
CUST10084,Female,0,No,Yes,42,Two year,No,Yes,Electronic check,No,No,No,26.62,1157.52,No
CUST10232,Female,0,No,No,8,Month-to-month,Fiber optic,Yes,Electronic check,No,Yes,Yes,66.84,436.68,No
CUST10621,Female,1,Yes,Yes,25,One year,Fiber optic,No,Mailed check,No,Yes,No,67.9,1687.74,No
CUST10334,Male,0,No,No,18,Month-to-month,Fiber optic,Yes,Electronic check,Yes,No,No,63.9,1147.48,No
CUST10130,Female,0,Yes,No,40,Two year,Fiber optic,Yes,Bank transfer,Yes,Yes,Yes,72.4,2989.34,No
CUST11012,Male,0,No,Yes,45,One year,Fiber optic,No,Credit card,No,Yes,Yes,68.86,3127.09,No
CUST10645,Female,0,No,No,29,Month-to-month,DSL,Yes,Mailed check,No,Yes,Yes,50.65,1617.24,No
CUST10974,Male,1,Yes,No,6,Month-to-month,DSL,Yes,Electronic check,No,Yes,No,46.74,333.3,No
CUST10383,Female,0,No,No,18,One year,Fiber optic,Yes,Electronic check,No,Yes,No,66.82,1175.89,Yes
CUST10868,Female,0,No,No,8,Month-to-month,Fiber optic,Yes,Credit card,No,No,Yes,59.93,505.4,Yes
CUST10543,Male,0,No,Yes,66,Month-to-month,Fiber optic,Yes,Electronic check,No,No,No,48.04,3227.09,No
